strongNumber,hebWord,lang,etymComplete,etymDesc,occurences,variants,morphology,heading,entrycontent,phonemes,multiarticle,occurencesorder,nextentry,preventry
137,אֲדֹנִי־בֶ֫זֶק,H,113+אדון אדון|966+בזק,vient De H113 et H966,"6517,6516,6518",,N_N-M-P,Adoni-Bézek,"Adoni-Bézek = ""mon Seigneur est Bézek"" = ""seigneur des éclairs""<br>1) roi de la ville Cananéenne de Bézek, tué par les Israélites",ʾădōnī-vezeq,,A04540,138,136
138,אֲדֹנִיָּ֫הוּ,H,113+אדון אדון|3050+יה,vient De H113 et H3050,"8642,8701,8711,21559,8684,8716,8676,8709,8003,8677,8710,21311,8644,8686,8685,8678,8640,22728,8712,8653,8659,8648,8646,8660,8707,8643",,N_N-M-P,Adonija,"Adonija = ""Yahvé est seigneur""<br>1) quatrième fils de David et rival de Salomon pour le trône<br>2) Lévite envoyé par Josaphat pour enseigner la loi<br>3) un chef du peuple qui coopéra avec Néhémie",ʾădōniyyāhū,,A01224,139,137
139,אֲדֹנִי־צֶ֫דֶק,H,113+אדון אדון|6664+צדק,vient De H113 et H6664,"6067,6069",,N_N-M-P,Adoni-Tsédek,"Adoni-Tsédek = ""mon seigneur est juste""<br>1) roi Cananéen tué par Josué",ʾădōnī-ṣedeq,,A05481,140,138
140,אֲדֹנִיקָם,H,113+אדון אדון|6965+קום,vient De H113 et H6965,"21185,20961,20787",,N_N-M-P,Adonikam,"Adonikam = ""mon seigneur s'est levé ""<br>1) le chef d'un clan Israélite qui retourna de l'exil",ʾădōnīqām,,A04021,141,139
141,אֲדֹנִירָם,H,113+אדון אדון|7311+רום,vient De H113 et H7311,"8810,8768",,N_N-M-P,Adoniram,"Adoniram = ""le seigneur est exalté ""<br>1) un des intendants de Salomon",ʾădōnīrām,,A05482,142,140
142,אָדַר,H,,racine primaire,"1927,1932,11018",,V,magnifique,"1) être grand, majestueux, sage, noble poétique",ʾādar,,A04428,143,141
143,אֲדָר,H,,probablement dérivation étrangère,"20390,20366,20291,20297,20392,20388,20372,20386",,N_N--T,Adar,"Adar = ""glorieux"", ""aire"", ""dieu du feu""<br>1) douzième mois, correspondant à nos mois Mars - Avril",ʾădār,,A02525,144,142
144,אֲדָר,A,143+אדר,(araméen) correspondant à H143,20913,,N_N--T,Adar,"Adar = ""glorieux"", ""aire"" assyro-babylonien addaru : sombre, nuageux<br>1)) 12 ème mois de l'année juive (mars ou avril)",ʾădār,,A05881,145,143
145,אֶ֫דֶר,H,142+אדר,vient de H142,"14608,15046",,N,magnifique,"1) gloire, magnificence<br>2) manteau, vêtement large",ʾeder,,A04650,146,144
146,אַדָּר,H,142+אדר,vient de H142,"6207,21774",,N_N-M-P;N_N--L,Addar,"Addar (ou Adar) = ""glorieux"", ""aire""<br>1) fils de Béla<br>2) ville de Juda près d'Edom, frontière méridionale de la Palestine",ʾaddār,,A05230,147,145
147,אִדַּר,A,142+אדר,(araméen) vient d'une racine correspondant à H142,20462,,N-F,aire,1) aire de battage de la moisson,ʾiddar,,A05882,148,146
148,אֲדַרְגָּזֵר,A,147+אדר|1505+גזר,"(araméen) vient de H147, et H1505","20478,20479",,N-M,grands juges,"1) juge, conseiller",ʾădargāzēr,,A04651,149,147
149,אַדְרַזְדָּא,A,,(araméen) probablement origine Perse,20943,,ADV,ponctuellement,"1) correctement, exactement, sérieusement",ʾadrazdāʾ,,A05883,150,148
150,אֲדַרְכֹּן,H,,d'origine Perse,"22368,20975",,N-M,dariques,"1) drachme, darique - unité de poids et valeur (en monnaie d'or) égale à 128 grains ou 4,32 grammes",ʾădarkōn,,A04652,151,149
151,אֲדֹרָם,H,141+אדונירם,"forme raccourcie de H141, Adoniram","8496,9087",,N_N-M-P,Adoram,"Adoram = ""mon Seigneur est exalté ""<br>1) un intendant de David<br>2) un intendant de Roboam",ʾădōrām,,A05483,152,150
152,אַדְרַמֶּ֫לֶךְ,H,142+אדר|4428+מלך,vient De H142 et H4428,"9933,10017,10907",,N_N-M-P;N_N-M-T,Adrammélec,"Adrammélec = "" (le dieu) Adar est roi"" = ""la magnificence du roi""<br>1) idole ou dieu de Sepharvaïm, introduit en Israël par Salmanasar le cinquième<br>2) fils et meurtrier de Sanchérib",ʾadrammelex,,A04338,153,151
153,אֶדְרַע,A,1872+דרע,(araméen) variante orthographique pour H1872,20880,,N-F,par violence,"1) fort, force, arme, pouvoir, puissance, violence",ʾedraʿ,,A05884,154,152
154,אֶדְרֶ֫עִי,H,153+אדרע,vient d'un équivalent de H153,"6187,6168,4898,4987,6136,6360,4978,4374",,N_N--L,édréi,"édréi = ""bon pâturage"", ""fort"", ""bras""<br>1) capitale de Basan, au nord du fleuve Jabbok",ʾedreʿī,,A02682,155,153
155,אַדֶּ֫רֶת,H,117+אדיר,féminin de H117,"9483,9478,14569,684,5999,9318,15068,9484,15036,9324,6002,13195",,N-F,manteau,"1) gloire, manteau<br>  1a) gloire, magnificence (d'une vigne, d'un bétail)<br>  1b) manteau, fait de fourrure ou matériau fin<br>     1b1) vêtement de prophète",ʾadderet,,A02081,156,154
156,אָדַשׁ,H,,racine primaire,10709,,V,bat,"1) battre le blé, fouler aux pieds, piétiner",ʾādaš,,A05885,157,155
157,אָהֵב,H,,racine primaire,"14134,17339,15956,687,7963,814,16236,6966,5417,19664,19856,22632,18047,11605,15283,15579,15504,13374,21048,14223,5200,14115,17616,5223,16596,18243,17219,20343,5203,17299,15179,20278,11944,14122,5507,8250,19038,11290,20330,12197,15281,17369,5065,15771,816,14120,14156,17337,17285,16231,7594,15096,6927,8228,984,11819,14998,5093,7615,19698,3316,6955,14420,14264,19882,17922,659,5043,18503,7613,732,550,17743,3300,5207,5726,7664,6656,8737,7533,17899,10976,15838,737,11280,13391,5277,17335,7134,18451,15955,18129,20069,5730,20109,22939,2058,17914,828,18209,14214,11942,16775,19699,22775,17304,8236,16572,5464,18168,13378,8797,20326,16445,13157,17996,11990,1345,13160,18095,15626,15000,17220,11992,7621,15705,826,15197,22791,20661,15596,13161,5122,5716,15729,19665,15865,14241,5126,18068,5232,742,18198,17625,14443,14291,17269,11026,17123,11671,11145,5211,5337,11368,11448,14615,9027,18166,1087,17046,19697,19865,8435,18092,17895,14246,17698,18302,11276,8239,19696,6433,2083,10194,21443,11506,5206,12210,6473,17772,1088,20186,16760,14117,7609,17331,5465,18277,17312,17291,15119,14123,15070,19668,18201",,V,aimer,"1) aimer<br>  1a) amour humain pour d'autres, familial ou sexuel<br>  1b) amour humain pour quelque chose: nourriture, boisson, sommeil<br>  1c) amour pour Dieu<br>  1d) amour de Dieu pour les hommes, comme individus, comme peuple",ʾāhēv,,A00229,158,156
158,אַ֫הַב,H,157+אהב אהב,vient de H157,"17812,14208",,N-M,amours,1) amours (seulement au pluriel)<br>2) (TWOT) amour,ʾahav,,A04653,159,157
159,אֹ֫הַב,H,156+אדשׁ,vient de H156,17869,,N-M,volupté,1) objet aimé<br>2) (TWOT) amour,ʾōhav,,A05886,160,158
160,אַהֲבָה,H,158+אהב,vient de H158,"18100,14661,14134,7966,9006,18158,19771,19685,20183,22419,18450,11514,19700,17034,19730,20178,17812,11392,5121,17033,14249,9028,7664,17944,22569,12210,19705,19768,19682,11483,8250,19683,19757,19770,7596,14842,14228",,N-F,amour,1) amour<br>  1a) humain pour un sujet humain<br>2) amour de Dieu pour son peuple,ʾahăvā,,A00926,161,159
161,אֹ֫הַד,H,,vient d'une racine du sens d'être uni,"1397,1671",,N_N-M-P,Ohad,"Ohad = ""puissant"", ""qui réunit"", ""qui lie""<br>1) fils de Siméon et petit-fils de Jacob",ʾōhad,,A05484,162,160
162,אֲהָהּ,H,,apparemment mot primaire exprimant la peine par exclamation,"12992,9608,11553,12264,12905,13030,6678,6866,13306,11468,11822,5985,9505,14311,9598",,INJ,Ah,1) ah! Malheur! hélas! ...,ʾăhāh,,A01790,163,161
163,אַהֲוָא,H,,probablement origine étrangère,"20969,20979,20963",,N_N--L,Ahava,"Ahava = ""Je subsisterai"", ""ruisseau""<br>1) ville ou lieu en Babylonie",ʾahăwāʾ,,A04022,164,162
164,אֵהוּד,H,161+אוהד,vient du même mot que H161,"6591,6590,6586,6593,21741,6602,6585,6596",,N_N-M-P,éhud,"contraction de Abihud ? éhud = ""Je remercierai: je serai loué "" = ""uni, non divisé, fort"" dans (1 Chroniques 8.6) seulement<br>1)) Benjamite juge d'Israël, libérateur d'Israël de Moab<br>2) un autre Benjamite, fils de Bilhan (1 Chroniques 8.6)",ʾēhūd,,A02673,165,163
165,אֱהִי,H,346+איה,apparemment variante orthographique pour H346,"14285,14281",,ADV,où,1) où,ʾĕhī,,A04654,166,164
166,אָהַל,H,,une racine primaire,19188,,V,brillante,"1) être clair, briller, brillant",ʾāhal,,A05887,167,165
167,אָהַל,H,168+אוהל,vient de H168,"331,10443,337",,V,dresser sa tente,"1) dresser, lever, déplacer une tente",ʾāhal,,A04633,168,166
168,אֹ֫הֶל,H,166+אהל,vient de H166,"7064,4260,4318,3661,2747,2880,3774,18844,5351,3225,3209,21634,2749,3701,4049,19004,19012,8717,16949,2243,7224,8473,16444,17428,19013,4478,3777,100,4289,2710,2800,431,2337,2379,10491,6435,14219,15392,4304,5216,6612,2553,8366,322,4452,6619,8494,2812,434,2585,9667,12672,3240,17353,22531,2249,2951,15957,18059,6709,3842,4308,4214,8969,2720,2738,3964,4222,3222,2484,324,2922,3837,2347,5744,8907,21622,3219,718,2698,908,22212,2419,2247,3981,4041,4119,2581,11737,16432,435,307,10919,4281,2866,3959,2730,3966,4237,2399,3450,4238,6661,6732,8092,2959,3747,2403,2743,5830,9636,659,4264,8104,16220,19031,3123,19341,2485,21989,2341,5085,3303,21832,2715,4245,2367,426,686,8437,2792,14780,19258,19889,2586,2801,2250,2921,2482,4065,4720,7589,18959,10959,6704,3983,3218,19666,4221,427,4261,11242,2409,4921,15057,5745,5999,2642,4252,4064,3235,4253,22018,22065,2803,3781,6621,12349,4051,2481,980,2604,3775,3834,2810,2248,2007,3856,233,4070,4558,6618,9795,16537,3198,8413,8674,3949,9085,6434,2985,4294,14266,22923,2751,19134,3241,2734,6002,3785,3731,9827,3676,4262,6436,3992,2987,2428,3718,4279,2381,3791,4213,2483,7179,3245,3769,16676,22687,3772,6000,12400,2401,3120,6622,10816,3962,2876,4249,21834,22404,16514,3700,3759,3779,19105,11608,5909,2781,2543,3767,2714,227,7404,3242,22395,2977,12201,15120,4035,18697,13889,18856,16437,22397,899,2703,1033,8716,9634,3787,3748,2294,2737,3783,2705,9633,16428,22394,22470,15513,3606,7035,2787,16076,3183,3940,2245,22608,2732,18773,2697,2348,2814,3135,21830,907,15514,2369,12346,2953,2742,2740,6296,6649,17158,3955,11563,15306,1964,19074,2727,4280,21682,20750,2272,2949,6432,8718,22880,2664,6374,3051,6001",,N-M,tente(s),"1) tente<br>  1a) du nomade, et symboliquement vie au désert<br>  1b) demeure, maison, habitation<br>  1c) la tente de l'éternel (le tabernacle)",ʾōhel,,A00146,169,167
169,אֹ֫הֶל,H,168+אוהל,même mot que H168,21577,,N_N-M-P,Ohel,"Ohel = ""tente"", ""famille""<br>1) fils de Zorobabel",ʾōhel,,A05888,170,168
170,אׇהֳלָה,H,168+אוהל,"forme de H168, mais en fait pour ""Oholahh"" (o-hol-aw')","13373,13405,13413,13374",,N_N-F-P,Ohola,"Ohola = ""sa propre tente""<br>1) Samarie comme adultère avec l'Assyrie (métaphorique)",ʾohŏlā,,A03560,171,169
171,אׇהֳלִיאָב,H,168+אוהל|1+אב,vient De H168 et H1,"2568,2569,2566,2427,2657",,N_N-M-P,Oholiab,"Oholiab = ""la tente du père""<br>1) assistant de Betsaleel dans la construction du tabernacle",ʾohŏlīʾāv,,A03506,172,170
172,אׇהֳלִיבָה,H,168+אוהל,vient de H168,"13413,13380,13405,13391,13373",,N_N-F-P,Oholiba," Oholiba = ""la femme de la tente""<br>1) (métaphorique) Jérusalem épouse adultère de l'éternel",ʾohŏlīvā,,A03183,173,171
173,אׇהֳלִיבָמָה,H,168+אוהל|1116+במה,vient De H168 et H1116,"1043,1046,1059,1066,21500,1082,1055",,N_N-F-P,Oholibama,"Oholibama = ""tente du haut lieu""<br>1) épouse d'Esaï<br>2) chef d'Edom",ʾohŏlīvāmā,,A02870,174,172
174,אָהָל,H,,d'origine étrangère,"15839,17868,4453,19720",,N-F,aloès,"1) aloès (arbre, parfum)",ʾāhāl,,A03753,175,173
175,אַהֲרֹן,H,,dérivation incertaine,"1630,22323,1631,4318,2366,1629,2464,2012,1996,1794,3225,3697,3703,3943,1669,2402,1616,6396,22947,1941,4248,3741,3777,4241,1679,2655,2358,2413,2984,2372,4483,2390,2337,1717,2706,6387,3997,3960,2329,2979,3942,3744,1728,3055,2955,4211,2474,2442,22659,2932,4324,1736,2391,2999,4206,4801,2948,16377,2393,1848,2913,2720,2527,3953,2766,2352,22243,1683,4291,2739,3732,4337,2347,1632,3211,1676,4102,2966,2692,2981,4187,2994,22212,1687,17116,2870,2859,4198,3778,6511,2757,2972,2866,16940,1818,3959,2956,2990,1682,3170,3213,3450,4237,2332,1705,4286,2346,5810,4314,1982,2528,2773,23009,2936,5179,3660,1681,4341,3695,1698,2341,3972,4114,4245,3649,3761,3204,2461,2792,2342,21992,4065,23070,3208,3608,22193,1994,2890,2431,2444,2930,4242,6483,4479,3456,2940,4232,22231,21700,2975,4322,4500,1957,1696,2335,2931,4800,1817,3054,21704,7385,3210,4064,1693,4253,4255,3205,22208,3781,2297,4336,4266,1723,2356,3771,4111,2296,2460,3622,3859,4070,2334,3388,3760,4238,4492,6393,17445,1867,4569,4212,2963,3347,3699,2976,1719,2765,3694,3749,1695,2751,2753,22213,2192,2784,16905,3785,3731,1653,1637,2864,2941,2381,2666,3363,4213,2915,3772,4071,2441,4763,2298,3790,3951,3962,1706,4551,4215,3238,3203,3961,1860,2295,2954,4335,20925,3759,2911,1727,2945,4550,2781,6402,16777,1958,3374,1751,4259,4320,14657,2754,2920,2961,4235,1716,1694,2363,2977,1954,3725,3745,2875,4555,3847,2721,1845,7084,2997,2982,17468,21707,1692,4236,2294,2365,2551,1781,2868,4338,22660,1770,21653,4340,3145,2787,4278,4061,3370,7383,17114,4135,3223,2179,1634,21699,1950,2942,2364,2369,2306,2962,2914,17146,21333,3702,21417,2986,3372,2051,1786,2187,2323,2949,3696,23177,3367,2361,21944,2440,2924,4251,2324,1981,2357,5194,3789,3763,1688",,N_N-M-P,Aaron,"Aaron = ""haut placé ou éclairé ""<br>1) Frère aîné de Moïse, un Lévite et le premier souverain sacrificateur.",ʾahărōn,,A00142,176,174
176,אוֹ,H,185+אוה,forme courte de H185,"7720,18963,3091,2084,2855,3365,9486,4306,7421,3364,3172,7126,2124,4160,4460,2853,3262,3077,3101,3336,2337,10673,2896,3055,3111,8409,2105,4162,4159,3096,2854,11180,4652,5378,7693,4308,9365,3109,20054,2838,4165,2040,19520,5473,3100,4867,2785,3391,2834,4865,3519,2835,1636,5040,7698,3052,3108,13316,3194,12462,5281,2403,2837,8034,3807,2120,19543,2119,18564,7039,3249,3346,2111,3261,14029,2082,3484,4394,19551,3095,5277,18897,7171,3398,13110,2099,3053,3823,642,7833,2149,2109,3581,3375,18858,3102,3149,9809,3083,3834,4111,2114,2901,3030,5368,5609,2833,7431,4869,19700,3198,7014,2760,2824,14412,5981,2115,3517,19778,3106,2107,5333,917,4033,5313,8376,2842,10310,3072,18642,9620,5476,2096,3239,4168,5372,647,10990,5541,5423,3302,2756,3366,2852,3110,3826,5342,7649,3134,2110,5280,19449,15125,3112,4656,7657,18641,4660,1344,4868,3374,4157,3142,4870,7988,13112,3976,18558,4664,3082,3244,3988,19685,3192,4275,9535,1333,3566,1613,2106,9375,22515,2121,2104,6865,7888,3183,2819,5038,5279,19687,5699,5369,641,3069,3392,3987,2098,2128,19521,5530,5022,5478,19695,3104,8949,12033,2832,3799,19122,5275,5371,15102,19546,20221,3105,3051,3397","אוֹ, אוֹ",CONJ|N-M,ou,"1) ou<br>  1a) impliquant que le dernier choix est meilleur<br>  1b) introduction d'un exemple à voir sur un principe particulier<br>  1c) (en série) soit ... ou, si ... ou<br>  1d) excepté, ou sinon",ʾō,m,A00203,177,175
177,אוּאֵל,H,176+או או|410+אל,vient De H176 et H410,21033,,N_N-M-P,Uel,"Uel = ""volonté de Dieu""<br>1) fils de Bani, qui renvoya son épouse étrangère au temps d'Esdras",ʾūʾēl,,A05889,178,176
178,אוֹב,H,1+אב,vient du même mot que H1 (idée de bavarder avec un ancêtre),"7868,7867,10108,7869,10524,3325,7863,21868,5397,3346,10044,3313,10714,23111,10343,19369",,N-M,morts,"1) outre en peau pour l'eau<br>2) celui qui évoque les morts, l'esprit d'un mort, revenant",ʾōv,,A01707,179,177
179,אוֹבִיל,H,56+אבל,vient probablement de H56,22336,,N_N-M-P,Obil,"Obil = ""conducteur de chameau""<br>1) responsable des chameaux de David",ʾōvīl,,A05890,180,178
180,אוּבַל,H,2986+יבל|2988+יבל,vient De H2986 (dans le sens de H2988),"20632,20636,20633",,N-M,fleuve,"1) courant, fleuve, rivière, ruisseau",ʾūval,,A04023,181,179
181,אוּד,H,,vient d'une racine du sens de râteler,"10303,14426,14919",,N-M,tison(s),"1) tison, braise",ʾūd,,A04024,182,180
182,אוֹדָה,H,181+אוד,vient du même mot que H181,"8251,6195,11526,725,4100,539,525,6663,4061,2008",,N-F,à cause,"1) cause<br>  1a) cause, raison de, l'occasion de",ʾōdā,,A02376,183,181
183,אָוָה,H,,une racine primaire,"18027,5318,16938,17438,18323,8586,9063,5262,20121,19154,17439,18270,5076,21886,4059,18356,18286,14670,14446,10656,8020,15842,4029,18326,11889",,V,désir,"1) désirer, incliner, convoiter, souhaiter, vouloir ... (nourriture, boisson, appétits corporels)",ʾāwā,,A01240,184,182
184,אָוָה,H,,une racine primaire,4828,,V,tracerez,"1) signer, marquer, décrire avec une marque<br>  1a) mesurer, tracer",ʾāwā,,A07788,185,183
185,אַוָּה,H,183+אוה,vient de H183,"5257,7748,14240,5262,11505,5263,5392",,N-F,désir(s),"1) désirer, vouloir (pas nécessairement en mal)",ʾawwā,,A02859,186,184
186,אוּזַי,H,5813+עוזי,peut-être par permutation pour H5813,21099,,N_N-M-P,Uzaï,"Uzaï = ""je serai arrosé "", ""rapidité de l'éternel""<br>1) un Judéen, un des réparateurs des murs de Jérusalem",ʾūzay,,A05891,187,185
187,אוּזָל,H,,dérivation incertaine,21469262,,N_N-M-P,Uzal,"Uzal = ""je serai inondé "" voir aussi définition <a href=""strong-hebreu-235.html"" title=""Strong hébreu 0235"">0235</a><br>1) sixième fils de Jokthan",ʾūzāl,,A05765,188,186
188,אוֹי,H,183+אוה,vient probablement De H183 (sens de crier),"11736,4470,12642,13427,10233,13147,11609,18349,12559,10235,13424,10628,10291,7222,11574,11841,11809,20011,4370,7221,14225,11556,14196",,INJ,malheur,1) malheur! hélas! oh!<br>  1a) cri passionné de chagrin ou de désespoir,ʾōy,,A01322,189,187
189,אֱוִי,H,183+אוה,vient probablement de H183,"6177,4674",,N_N-M-P,évi,"évi = ""désir, convoitise""<br>1) un des cinq chefs de Madian",ʾĕwī,,A05485,190,188
190,אוֹיָה,H,188+אוי,vient de H188,17353,,INJ,Malheureux,1) malheureux!,ʾōyā,,A05892,191,189
191,אֱוִיל,H,,vient d'une racine (du sens d'être entêté),"17683,18057,18509,17940,17942,18448,18011,18051,17953,18233,10845,18676,18010,14220,16989,17873,18177,18675,17993,18088,18138,11565,17946,18362,18467",,A-M,insensé (s),"1) être fou, sot<br>  1a) celui qui manque de sagesse, qui est licencieux",ʾĕwīl,,A01226,192,190
192,אֱוִיל מְרֹדַךְ,H,,"dérivation de l'Araméen, du sens possible de soldat de Merodac","12823,10168",,N_N-M-P,évil-Merodac,"évil-Merodac = ""homme de Merodac"" = ""insensé du carnage""<br>1) fils et successeur de Nebucadnetsar, roi de l'empire Néo-Babylonien 560 Av. JC",ʾĕwīl mᵊrōdax,,A04655,193,191
193,אוּל,H,,"vient d'une racine du sens de tordre, c'est à dire être fort","16285,10136","אוּל, אוּל",N-M,grands,"1) pré éminence<br>  1a) du corps, ventre (méprisant)<br>  1b) de nobles, hommes riches",ʾūl,m,A04656,194,192
194,אוּלַי,H,176+או או,vient de H176,"12365,11948,14443,455,453,6201,7431,14813,9984,597,457,456,2469,12091,14542,6046,8289,9286,11958,18596,13045,4382,12361,8356,449,631,11128,9357,384,4420,4444,4409,19936,14206,7314,4387,740,9264,10873,454,949,12736,1303,7253",,ADV,peut-être,"1) peut-être, par hasard<br>2) si d'aventure<br>3) à moins que ... ne<br>4) supposer",ʾūlay,,A00784,195,193
195,אוּלַי,H,,dérivation du Perse,"20632,20646",,N_N--L,Ulaï,"Ulaï = ""mes chefs (puissants)"", ""eau boueuse""<br>1) fleuve d'Elam",ʾūlay,,A04657,196,194
196,אֱוִלִי,H,191+אויל,vient de H191,"15048,10532",,A,insensé,"1) sot, insensé",ʾĕwilī,,A04658,197,195
197,אוּלָם,H,481+אלם,vient De H481 (sens de silence),"8858,8860,13878,13887,8873,22995,8859,13847,8817,13888,22430,13854,13964,22351,14025,14019,12982,13848,8871,13879,22555,13914,22695,13903,13913,13846,8864,14333,23005",,N-M,portique(s),"1) portique, vestibule<br>  1a) du temple de Salomon<br>  1b) du palais de Salomon<br>  1c) du temple de la vision d'Ezéchiel",ʾūlām,,A01118,198,196
198,אוּלָם,H,481+אלם,vient apparemment De H481 (sens de mutisme),"21810,21747,21811,21748",,N_N-M-P,Ulam,"Ulam = ""solitaire""<br>1) un Manassite<br>2) un Benjamite de la famille de Saïl",ʾūlām,,A03561,199,197
199,אוּלָם,H,194+אולי אולי,apparemment variante de H194,"18681,19373,18857,4130,18618,18879,9349,18921,1471,793,7650,18602,18835,7024,1759,18878,18992,14621,7813",,ADV,mais,"1) mais, mais en effet<br>2) cependant, néanmoins",ʾūlām,,A01526,200,198
200,אִוֶּ֫לֶת,H,191+אויל,vient du même mot que H191,"18039,18077,18072,15723,16200,18065,18097,18161,18364,18104,18085,18422,18306,18204,18056,18049,18138,18190,17816,18428,18467,18421,18018,18066",,N-F,folie,"1) folie, sottise",ʾiwwelet,,A01266,201,199
201,אוֹמָר,H,559+אמר,vient de H559,"1052,21484,1056",,N_N-M-P,Omar,"Omar = ""orateur"", "" éloquent"", ""montagnard"", ""qui est dessus""<br>1) petit-fils d'Esaï",ʾōmār,,A04429,202,200
202,אוֹן,H,205+און,vient probablement du même mot que H205 (sens d'effort avec succès),"14265,16428,5466,19602,19005,10963,14260,10966,16915,19010,19058,1477",,N-M,force(s),1) vigueur générant le pouvoir<br>2) richesse<br>3) force physique des hommes,ʾōn,,A02033,203,201
203,אוֹן,H,202+און,même mot que H202,4196,,N_N-M-P,On,"On = ""richesse"" ou ""force, vigueur""<br>1) un chef de la tribu de Ruben",ʾōn,,A07789,204,202
204,אֹן,H,,vient d'un mot égyptien,"1241,1407,1246",,N_N--L,On,"On = ""lumière"", ""soleil""<br>1) ville de Basse égypte, siège principal du culte solaire, appelée Héliopolis par les Grecs",ʾōn,,A04541,205,203
205,אָ֫וֶן,H,,"vient d'une racine peut-être du sens de haleter, mais en vain","15779,13019,18960,17971,15191,17834,15966,14180,18841,16045,18844,16793,11321,11264,14238,15988,18547,19313,15023,18229,19096,11324,19427,16707,11312,11558,17305,18660,19468,15677,17389,19441,10368,19413,15224,16659,17961,15668,14739,11323,17555,18275,10730,10782,16690,14780,19479,18153,10184,18679,15302,17560,11441,15207,16009,17828,14217,18016,19126,15669,4438,15981,14433,16108,16692,5582,11557,14268,14601,7500,16148,16719,16726,16042,10997,10769,15525,15265",,N-M,iniquité,"1) malheur, méchanceté, douleur<br>  1a) idolâtrie",ʾāwen,,A00485,206,204
206,אָ֫וֶן,H,205+און,même mot que H205,13583,,N_N--L,Aven,"Aven = ""vanité "", ""vide, néant""<br>1) nom utilisé pour des lieux d'adoration idolâtre<br>  1a) cité d'Egypte, peut-être On (Ezéchiel 30.17)<br>  1b) Beth-Aven avec l'adoration du veau (Osée 10.8)<br>  1c) ville ou région de Syrie (Amos 1.5)",ʾāwen,,A05893,207,205
207,אוֹנוֹ,H,202+און,prolongation de H202,"21783,21369,21150,20807,21204",,N_N--L,Ono,"Ono = ""fort""<br>1) cité de Benjamin<br>2) une vallée (d'artisans)",ʾōnō,,A03184,208,206
208,אוֹנָם,H,209+אונן,variante de H209,"21488,21530,1064,21528",,N_N-M-P,Onam,"Onam = ""fort, riche"", ""lassitude, iniquité ""<br>1) Horien, petit-fils de Séir<br>2) chef de Juda, descendant de Jerachmeel",ʾōnām,,A03754,209,207
209,אוֹנָן,H,207+אונו אונו,variante de H207,"1129,1128,1124,21505,4510,1399",,N_N-M-P,Onan,"Onan = ""vigoureux"", ""lassitude"", ""iniquité ""<br>1) fils de Juda et d'une Cananéenne, tué par Dieu pour ne pas avoir respecté le commandement lévitique d'assurer une postérité à la femme de son frère",ʾōnān,,A03125,210,208
210,אוּפָז,H,211+אופיר אופיר אופר,peut-être une modification de H211,"11726,20689",,N_N--L,Uphaz,"Uphaz = "" île d'or fin""<br>1) un lieu célèbre pour son ou (site inconnu)",ʾūfāz,,A04659,211,209
211,אוֹפִיר,H,,dérivation incertaine,"22561,9008,21471,22365,22571,15840,19135,9447,8997,264,19242,10435",,N_N--L;N_N-M-P,Ophir,"Ophir = ""débarrassé des cendres"", ""abondance"", ""richesse""<br>1) onzième fils de Jokthan<br>2) lieu de l'Arabie du sud sur la route du commerce de Salomon où l'or était raffiné<br>3) caractéristique de l'or fin",ʾōfīr,,A02051,212,210
212,אוֹפָן,H,,vient d'une racine du sens de tourner,"10708,12846,13007,13011,13005,12845,13008,12842,18256,13004,13001,8884,8882,12877,8885,13014,12847,14719,1915,13039,12841",,N-M,roue(s),"1) roue<br>  1a) roue de char<br>  1b) roue de la vision d'Ezéchiel<br>  1c) roues des dix bases dans le temple de Salomon<br>2) à propos, convenable",ʾōfān,,A01410,213,211
213,אוּץ,H,,une racine primaire,"18265,1646,473,18492,10573,6292,6079,18520,18203,11889",,V,se hâter,"1) se presser, être pressé, faire en hâte, être étroit",ʾūṣ,,A02324,214,212
214,אוֹצָר,H,686+אצר,vient de H686,"15135,9787,13523,20843,5975,22331,22294,23208,9958,12603,14663,10931,17456,11730,22643,18266,15598,9829,9890,22298,22300,18280,22622,22369,11876,9185,12647,21237,22334,12707,19537,22352,10933,22296,22466,23099,12741,14313,12719,8903,17899,21236,20408,10032,10030,11943,21333,21837,22925,22333,12422,14286,21430,10134,10802,18099,10740,21429,10209,17934,22708,21414,5794,5970,5625,11844,22558,11081,9162,12744",,N-M,trésor(s),"1) trésor, magasin de stockage<br>  1a) trésor (or, argent, etc)<br>  1b) magasin, provision de nourriture ou boisson<br>  1c) arsenal (fig: armurerie de Dieu)<br>  1d) réservoirs (de Dieu pour pluie, neige, vent ...)",ʾōṣār,,A00530,215,213
215,אוֹר,H,,une racine primaire,"15,15396,16152,16375,16348,17,16918,21269,16470,19402,2233,15104,1889,16754,7895,15295,17302,10679,7999,16482,11357,3942,13617,21276,1910,3849,11339,20992,7454,18513,19642,20674,15572,15365,16466,17307,17525,20161,17784,13936",,V,éclairer,"1) être ou devenir brillant, lumière<br>  1a) (devenir lumière: le jour qui paraît<br>  1b) la lumière du soleil",ʾōr,,A00858,216,214
